tema;ano;texto;enunciado;op_a;op_b;op_c;op_d;op_e;gabarito;explicacao
sintaxe;2023;Assinale a opção que apresenta a mesma classificação sintática do trecho destacado na sentença: 'A leitura é a nossa arma de combate.' (4°§);Identifique a alternativa que traz a mesma função sintática sublinhada acima (Predicativo do Sujeito).;A) Eu serei você amanhã.;B) João Carlos deixou Maria triste.;C) Os meninos ficaram felizes.;D) Nós somos dez lá em casa.;E) A taça é de cristal.;1;O termo 'a nossa arma de combate' atua como Predicativo do Sujeito através do verbo de ligação 'ser'. A alternativa B também apresenta um predicativo correspondente na análise de termos associados ao núcleo básico.
ortografia;2023;Sentença: 'A Europa conservara sua memória nas grandes bibliotecas dos mosteiros da Irlanda.' (5°§);Em que opção a palavra destacada é acentuada por regra distinta do vocábulo sublinhado na sentença acima (memória - paroxítona terminada em ditongo crescente)?;A) 'E não um incêndio qualquer [...]' (4°§);B) '[...] o Império do Ocidente destruído pelos germânicos [...]' (5°§);C) '[...] porque o colégio criado por Robert de Sorbon [...]' (5°§);D) '[...] transforma-se rapidamente numa experiência de estocagem[...]' (6°§);E) 'São pedaços de História.' (7°§);1;A palavra 'memória' é acentuada por ser paroxítona terminada em ditongo. A alternativa B traz 'destruído', palavra cuja acentuação se justifica pela regra do hiato, constituindo regra distinta.
interpretacao;2023;;Assinale a opção em que a progressão referencial está corretamente indicada pelos termos destacados.;A) 'A biblioteca de Alexandria foi a maior da Antiguidade.' (1°§);B) 'Alguns dos nossos fundadores trabalharam nela.' (2°§);C) 'Os livros criaram a Sorbonne.' (5°§);D) 'Quem tiver uns livros em casa, guarde-os.' (7°§);E) 'A nossa cultura transforma-se rapidamente.' (6°§);4;A opção E traduz a correta fixação de marcos referenciais de desdobramento temático progressivo do ensaio.
sintaxe;2023;;Assinale a opção em que a frase está na voz passiva.;A) 'Intoxicar-se com o ar de séculos de poeira acumulada'. (2°§);B) '[...] aposentam-se da vida outros livros.' (2°§);C) 'A mim encanta Hipatia.' (3°§);D) 'Cabem num Kindle.' (3°§);E) 'São pedaços de História.' (7°§);1;Na opção B, a construção com a partícula 'se' em 'aposentam-se outros livros' configura voz passiva sintética (equivalente a 'outros livros são aposentados da vida').
interpretacao;2023;Texto 02 - 'Livros, livros, livros' (Cora Rónai);Acerca dos tipos de discurso e das manifestações de pensamento nas narrativas/crônicas, assinale a opção correta.;A) O discurso direto tem como característica o narrador subordinar a si o personagem.;B) O discurso indireto é marcado por dois pontos, ponto e vírgula e travessões.;C) A função principal dos verbos dicendi é indicar o interlocutor que está com a palavra.;D) Os verbos e pronomes não sofrem alterações na transposição de um discurso para o outro.;E) O discurso indireto livre ou semi-direto não apresenta características híbridas.;2;Os verbos de dizer ou 'dicendi' (falar, responder, indagar, declarar) têm como atribuição fundamental anunciar a voz, introduzir a fala ou delimitar a vez de interlocução das personagens.
interpretacao;2023;Texto 02 - 'Livros, livros, livros' (Cora Rónai);De acordo com o texto, assinale a opção em que a justificativa para se manter um livro físico em casa é facilmente contestada, devido à chegada dos livros digitais.;A) '[...] ler em papel continue sendo uma experiência muito mais completa [...]' (1°§);B) '[...] presentear e receber livros continue sendo uma felicidade [...]' (1°§);C) '[...] porque tem dedicatórias [...]' (2°§);D) '[...] para garantir acesso ao seu conteúdo [...]' (2°§);E) '[...] as vendas de livros impressos cresceram [...]' (4°§);3;A autora pontua que guardar livros para 'garantir o acesso ao conteúdo' tornou-se dispensável/contestável, visto que hoje é possível localizá-los e lê-los instantaneamente através de buscas online na nuvem.
semantica;2023;;Assinale a opção em que as palavras retiradas do texto estabelecem relação de hiperônimo e hipônimo (relação de gênero/classe para espécie).;A) 'velha' e 'estante'.;B) 'papel' e 'formato digital'.;C) 'enciclopédias' e 'Britannica'.;D) 'livros' e 'e-books'.;E) 'tecnologia' e 'tempo'.;2;'Enciclopédia' possui sentido abrangente de classe/gênero (hiperônimo), enquanto 'Britannica' é um elemento específico e particular dessa categoria (hipônimo).
pontuacao;2023;Em 'Livros de referência e o formato digital foram, sem dúvida, feitos uns para os outros, mas o mesmo não se pode dizer de todos os livros, indistintamente.' (4°§);As vírgulas foram utilizadas corretamente no trecho acima. Assinale a opção em que o emprego da vírgula também está inteiramente correto.;A) Quem lê muito, conta com bons resultados, já quem procrastina, conta com maus resultados.;B) As corretas orientações sobre a prova de amanhã, o professor procurou lhes dar?;C) Ficaram tristes com as notas das provas de sociologia e filosofia, os doutorandos e graduandos.;D) Todos os alunos da faculdade foram convidados, por aquele orientador para a festa.;E) O professor explicou matemática que, é minha maior dificuldade, categoricamente.;1;A opção B está correta. A vírgula isola de forma adequada um objeto direto deslocado com valor enfático ou topicalizado na frase ('As corretas orientações sobre a prova...').
sintaxe;2023;Analise a sentença abaixo: '[...] que me permitiam encontrar, ao acaso, muitas palavras e verbetes interessantes.' (3°§);Assinale a opção correta quanto à função sintática do pronome relativo destacado (que).;A) Predicativo do objeto.;B) Predicativo do sujeito.;C) Sujeito.;D) Objeto direto.;E) Complemento nominal.;1;O pronome relativo 'que' retoma o termo antecedente 'dicionários de papel' e atua sintaticamente como Sujeito da oração subordinada ('que me permitiam encontrar').
regencia;2023;Na sentença '[...] mas continuei apegada à minha Britannica [...]' (3°§), o emprego do acento grave é facultativo devido ao possessivo feminino.;Assinale a opção em que o acento indicativo de crase também pode ser retirado sem incorrer em erro gramatical.;A) Fui até à praça caminhando.;B) Às vezes sinto muito frio aqui dentro.;C) A jogada foi à Messi.;D) Saiu às oito da manhã.;E) Devo obedecer àquilo que acredito.;0;Após a preposição 'até', o uso da preposição 'a' (e consequentemente a ocorrência da crase diante de substantivo feminino determinado) é facultativo. Pode-se escrever 'Fui até à praça' ou 'Fui até a praça'.
morfologia;2023;Analise o trecho: 'Entendi imediatamente o seu potencial e o que representavam em termos de difusão cultural [...]' (3°§);Assinale a opção em que os termos destacados possuem o mesmo valor, com relação à classe gramatical, dos que estão destacados no trecho acima, respectivamente (o = pronome demonstrativo / que = pronome relativo).;A) A mulher apontou aquele menino como autor do furto.;B) O homem ficou indignado com o cachorro raivoso.;C) Esta noite será lembrada por esse espetáculo.;D) O que você disser será o ponto final.;E) O que ele falou para o artista quando o encontrou?;0;A opção A replica os valores pronominais adequados na avaliação morfológica sequencial exigida pela banca.
semantica;2023;Analise a sentença: '[...] continuo gostando mais dos meus livrinhos em papel [...]' (5°§);Assinale a opção em que o uso do diminutivo possui valor semântico semelhante ao do termo destacado acima (valor afetivo/carinhoso).;A) Este portãozinho está quebrado.;B) Aquela mulherzinha é desleal.;C) O celular com capinha fica protegido.;D) Na mochilinha não cabe nada.;E) Aquele é o meu paizinho.;4;Em 'livrinhos', o sufixo diminutivo traduz afeto e apego sentimental. Esse mesmo valor conotativo de carinho e afetividade manifesta-se em 'paizinho' (opção E).
semantica;2023;Analise a sentença: '[...] ainda que ler em papel continue sendo uma experiência muito mais completa [...]' (1°§);Assinale a opção em que a locução conjuntiva destacada foi substituída por outra e causou ALTERAÇÃO do sentido original do período.;A) Posto que ler em papel continue sendo uma experiência muito mais completa.;B) Embora ler em papel continue sendo uma experiência muito mais completa.;C) Porquanto ler em papel continue sendo uma experiência muito mais completa.;D) Mesmo que ler em papel continue sendo uma experiência muito mais completa.;E) Conquanto ler em papel continue sendo uma experiência muito mais completa.;2;A locução 'ainda que' possui valor concessivo (assim como 'posto que', 'embora', 'mesmo que' e 'conquanto'). A conjunção 'porquanto' possui valor explicativo/causal, alterando completamente o sentido.
interpretacao;2023;Texto 03 - Tirinha / Quadrinho sobre livros e e-books.;De acordo com a leitura progressiva do texto 03 (tirinha), é INCORRETO afirmar que:;A) o livro físico representa uma época anterior à tecnologia moderna.;B) o livro digital tem o formato mais compacto e portátil.;C) os livros físicos estão em perigo com o aparecimento dos digitais.;D) existe uma vantagem dos livros físicos sobre os livros digitais.;E) o livro digital foi pouco aceito na sociedade.;4;A tirinha mostra de forma bem-humorada o dispositivo digital descarregando (*clique*) ou apagando, revelando uma desvantagem deste face ao físico, o que invalida a assertiva E sobre recusa social.
interpretacao;2023;Cruzamento analítico dos textos 01, 02 e 03 da Prova do SMV da Marinha.;De acordo com os textos 01, 02 e 03, é possível inferir que:;A) o livro físico se mostrou obsoleto em relação ao livro digital.;B) o livro digital representa uma ameaça à existência do livro físico.;C) os dois formatos coexistem de forma harmônica, possuindo o mesmo prestígio.;D) os dois formatos de livro, físico e digital, possuem vantagens e desvantagens.;E) o livro físico é o formato mais importante para a construção do conhecimento.;3;A síntese comparativa das três peças textuais demonstra que ambos os suportes literários guardam potencialidades singulares, dividindo pontos favoráveis e limitações próprias na era informacional.
interpretacao;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que NÃO se observa uma referência intertextual no trecho selecionado.;A) 'Não são lugares dionisíacos onde se encontre o sorriso dos deuses aberto em folhagem [...]' (§1);B) '[...] o Terceiro Informe ao Clube de Roma para uma Nova Ordem Internacional pergunta [...]' (§2);C) 'Lembrete arcaico, mas em relação ao comportamento humano a palavra bíblica ainda alerta e ainda acerta.' (§3);D) 'A árvore é a mais perfeita obra de arte da natureza e o mais prodigioso aparelho vivo, depois do homem.' (§3);E) 'Uma cronista escreveu há alguns dias que um seu amigo falava num projeto de clube da árvore [...]' (§4);3;A alternativa D apresenta uma definição direta e literal do próprio autor sobre a árvore, sem fazer alusões, diálogos ou citações diretas a outros textos, mitos, relatórios ou autores externos.
sintaxe;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que uma oração se encontra na voz passiva.;A) 'No fim de setembro as árvores ganham mais a atenção da gente e se tornam o assunto do mês [...]' (§1);B) '[...] pois entra a primavera em cena e dificilmente se pensaria em uma primavera bem montada e bem aparelhada [...]' (§1);C) 'É necessário definir quando e como se estabelece o direito de violar a integridade delas.' (§2);D) 'Como não existe esse código civil ou esse código penal da árvore e ela por si mesma não trata de defender-se [...]' (§2);E) 'Não se vai a ponto de considerar as árvores como os bois e os macacos sagrados da Índia, seres tabus e intocáveis.' (§2);2;No trecho 'se estabelece o direito', o vocábulo 'se' atua como partícula apassivadora em uma estrutura de voz passiva sintética, equivalendo a 'o direito é estabelecido'.
regencia;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Analise as afirmativas sobre o acento indicativo de crase e sua justificativa nos termos sublinhados, assinalando a opção correta.;A) Apenas as afirmativas I, II e IV são verdadeiras.;B) Apenas as afirmativas II, III e IV são verdadeiras.;C) Apenas as afirmativas III e IV são verdadeiras.;D) Apenas as afirmativas I e III são verdadeiras.;E) Apenas as afirmativas I, II e III são verdadeiras.;2;As afirmativas III e IV estão corretas: o termo 'agressões à árvore' exige a preposição 'a' por regência nominal do substantivo 'agressões', e 'chega à ingenuidade' exige a preposição por regência do verbo 'chegar'.
ortografia;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que o acento da palavra sublinhada se justifica em razão de uma regra concernente às palavras paroxítonas.;A) 'Está claro também que não se chega à ingenuidade de colocar na árvore a solução de todas as crises ambientais no mundo de hoje.' (§2);B) 'Não são lugares dionisíacos onde se encontre o sorriso dos deuses aberto em folhagem [...]' (§1);C) '[...] devem ter na maior conta e respeito as árvores, que são as heroínas e dão continuidade, substância e sentido a essa história.' (§1);D) 'Este é um enunciado que deveria ser lido na camiseta dos jovens, no vidro dos automóveis e na bandeira nacional de todos os países.' (§3);E) 'E trabalhamos nisso desimpedidos, irresponsáveis, alegrões e até mesmo pensando fazer um serviço benemérito.' (§2);4;A palavra 'irresponsáveis' recebe acento gráfico por ser uma palavra paroxítona terminada em ditongo terminada em -eis, seguindo a regra geral das paroxítonas.
morfologia;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que a troca de posição de um dos termos sublinhados implica mudança de classe gramatical.;A) 'Falar em tais coisas seria de uma arquibocejante e esplendorosa chatice não fora o fato de estarmos trabalhando [...]' (§2);B) '[...] dificilmente se pensaria em uma primavera bem montada e bem aparelhada a não ser com dose certa de árvores.' (§1);C) '[...] são lugares que não conhecem o milagre subterrâneo chamado raiz, nem o milagre aéreo chamado clorofila.' (§1);D) '[...] os problemas de aldeia já têm um grupo de sábios aldeões que deles cuidam com exclusividade e incomparável competência.' (§4);E) '[...] os problemas de aldeia já têm um grupo de sábios aldeões que deles cuidam com exclusividade e incomparável competência.' (§4);1;No trecho 'dose certa', o termo 'certa' atua como adjetivo (sinônimo de exata/correta). Se trocado para 'certa dose', passa a funcionar gramaticalmente como um pronome indefinido.
semantica;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Analise o fragmento: 'Como não existe esse código civil ou esse código penal da árvore e ela por si mesma não trata de defender-se...' (§2). Assinale a opção em que o termo sublinhado (Como) está corretamente substituído, sem alteração de sentido.;A) Porquanto não existe esse código civil ou esse código penal da árvore...;B) Conquanto não existe esse código civil ou esse código penal da árvore...;C) Posto que não existe esse código civil ou esse código penal da árvore...;D) Contanto que não existe esse código civil ou esse código penal da árvore...;E) Por mais que não existe esse código civil ou esse código penal da árvore...;0;O conectivo 'Como' no início do período introduz uma oração subordinada adverbial causal. Pode ser substituído de forma precisa pela conjunção causal 'Porquanto' sem alterar o sentido.
morfologia;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que a expressão verbal sublinhada NÃO se configura como uma locução verbal.;A) '[...] devem ter na maior conta e respeito as árvores [...]' (§1);B) 'Devia existir nos estatutos jurídicos um capítulo que tratasse especificamente dos crimes contra o mundo vegetal [...]' (§2);C) '[...] 'de que modo o desflorestamento maciço causado pela necessidade de lenha [...] irá afetar o nosso ambiente terrestre [...]' (§2);D) '[...] e ela por si mesma não trata de defender-se, imaginei sugerir a fundação de uma Sociedade Protetora da Árvore.' (§2);E) 'Este é um enunciado que deveria ser lido na camiseta dos jovens, no vidro dos automóveis e na bandeira nacional de todos os países.' (§3);3;Na opção D, o verbo 'tratar' é empregado com sentido pleno de 'ocupar-se' ou 'dedicar-se a algo', regendo uma preposição obrigatória, o que descaracteriza a estrutura de verbo auxiliar de uma locução verbal.
morfologia;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que a palavra sublinhada admite uma outra forma de plural.;A) '[...] árvores, que são as heroínas e dão continuidade, substância e sentido a essa história.' (§1);B) 'E trabalhamos nisso desimpedidos, irresponsáveis, alegrões e até mesmo pensando fazer um serviço benemérito.' (§2);C) 'Não se vai a ponto de considerar as árvores como os bois e os macacos sagrados da Índia, seres tabus e intocáveis.' (§2);D) 'Ao movimento de um sítio onde nossos dois avós viveriam uma vida perfeita, veio Deus com o Éden [...]' (§3);E) '[...] os problemas de aldeia já têm um grupo de sábios aldeões que deles cuidam com exclusividade e incomparável competência.' (§4);4;O substantivo 'aldeões' destaca-se por ser uma palavra que admite legalmente três formas distintas de plural na norma culta: aldeões, aldeãos e aldeães.
interpretacao;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Com base nas informações contidas no texto, NÃO se pode afirmar que o autor explicita a importância das árvores a partir de um viés:;A) científico, salientando a função essencial desempenhada por elas para o equilíbrio do meio ambiente.;B) religioso, pois elas costumam fazer parte, na cultura popular, de um cenário considerado paradisíaco.;C) literário, em que elas são tema de textos de autores célebres, os quais clamam por sua proteção.;D) jurídico, porque anseia a regulamentação legal da sua proteção com parâmetros semelhantes aos da proteção oferecida aos seres humanos.;E) mitológico, no qual elas, como representantes maiores da natureza, são até mesmo incorporadas por divindades.;2;Embora o autor aborde aspectos científicos, bíblicos/religiosos, legais/jurídicos e mitológicos sobre as árvores, ele não fundamenta sua argumentação a partir de análises ou revisões de obras de autores célebres da literatura.
pontuacao;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que é possível a inserção de uma vírgula.;A) 'No fim de setembro as árvores ganham mais a atenção da gente e se tornam o assunto do mês [...]' (§1);B) 'Pode-se pedir à mais capacitada imaginação um quadro de primavera no Himalaia ou no Saara, mas não se terá nada que preste.' (§1);C) 'Se todos amam, desejam e dão graças à primavera, que é a mais bela página da história natural [...]' (§1);D) 'Devia existir nos estatutos jurídicos um capítulo que tratasse especificamente dos crimes contra o mundo vegetal [...]' (§2);E) 'A árvore é a mais perfeita obra de arte da natureza e o mais prodigioso aparelho vivo, depois do homem.' (§3);0;Na opção A, a expressão 'No fim de setembro' funciona como um adjunto adverbial de tempo extenso e deslocado para o início da oração, o que torna a inserção de uma vírgula logo após válida e recomendada.
semantica;2022;Texto 01 - 'MANIFESTO DA ÁRVORE' (Jurandir Ferreira);Assinale a opção em que um nome próprio vale por um nome comum (antonomásia/metonímia).;A) 'Não se vai a ponto de considerar as árvores como os bois e os macacos sagrados da Índia, seres tabus e intocáveis.' (§2);B) 'Entretanto a resposta é óbvia quando o Terceiro Informe ao Clube de Roma para uma Nova Ordem Internacional [...]' (§2);C) '[...] estarmos trabalhando, no tronco de cada árvore cortada, para espicharmos sobre o mundo os Saaras e os Himalaias.' (§2);D) 'Ao inventar um sítio onde nossos dois avós viveriam uma vida perfeita, veio Deus [...]' (§3);E) '[...] com o Éden, que era cheio de árvores.' (§3);2;Na opção C, os nomes próprios geográficos 'Saaras' e 'Himalaias' foram pluralizados e utilizados fora de seu contexto geográfico específico para significar genericamente 'grandes desertos áridos' e 'grandes barreiras ou montanhas'.
semantica;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);Assinale a opção em que o termo sublinhado denota uma noção de inclusão.;A) 'Segundo a ciência, os feromônios do suor são fundamentais até para decidirmos quem será nosso parceiro [...]' (§2);B) 'Mas não tão próximas: primeiro elas pulam vários exemplares e só voltam a comer depois de uns 100 metros.' (§3);C) 'Visto dessa forma, apenas os humanos podem falar, pois esse conceito se limita à nossa espécie.' (§1);D) 'Ou então trabalham contra o vento, já que é ele que carrega a mensagem aromática, buscando acácias que ainda não detectaram sua presença.' (§3);"E) 'Isso não é novidade para nós, seres humanos; afinal, usamos desodorantes e perfumes.' (§2)";0;O vocábulo 'até' funciona no contexto da opção A como uma palavra denotativa de inclusão, acrescentando uma ideia limite e inclusiva à tese do autor.
semantica;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);Assinale a opção em que o elemento de coesão utilizado para a retomada e a progressão do texto é um hiperônimo.;A) 'As girafas sabem disso e partem para as árvores próximas. Mas não tão próximas: primeiro elas pulam vários exemplares [...]' (§3);B) 'Os galhos rangem e estalam ao entrar em atrito uns com os outros, e as folhas farfalham, mas esses sons são causados pelo vento [...]' (§1);C) 'As girafas comem a folhagem da Acaciatortilis, uma espécie de acácia que não gosta nem um pouco disso. Para se livrar dos herbívoros [...]' (§3);D) 'O motivo é surpreendente: as acácias atacadas exalam um gás de alerta (no caso, etileno) que sinaliza às outras [...]' (§3);E) 'Ou então trabalham contra o vento, já que é ele que carrega a mensagem aromática, buscando acácia que ainda não detectaram [...]' (§3);2;O substantivo 'herbívoros' funciona como hiperônimo (palavra de sentido mais amplo e genérico) para retomar e substituir o substantivo específico 'girafas' citado anteriormente.
morfologia;2022;Trecho: 'Por exemplo, se as raízes estiverem em dificuldade, a informação se espalhará pela árvore...';Assinale a opção que apresenta outra possibilidade de colocação do pronome oblíquo destacado no trecho, segundo as normas gramaticais vigentes.;A) Por exemplo, se as raízes estiverem em dificuldade, a informação espalhará-se pela árvore...;B) Por exemplo, se as raízes estiverem em dificuldade, a informação espalharás-se pela árvore...;C) Por exemplo, se as raízes estiverem em dificuldade, a informação espalharasse pela árvore...;D) Por exemplo, se as raízes estiverem em dificuldade, a informação espalhar-se-á pela árvore...;E) Por exemplo, se as raízes estiverem em dificuldade, a informação espalha-se-á pela árvore...;3;Como o verbo está flexionado no Futuro do Presente do Indicativo ('espalhará') e não há palavra atrativa exigindo próclise, a norma culta prevê o uso obrigatório ou opcional da mesóclise: 'espalhar-se-á'.
morfologia;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);O verbo destacado no trecho 'se as raízes estiverem em dificuldade' (Futuro do Subjuntivo) está flexionado no mesmo MODO de qual verbo destacado abaixo?;A) 'E, mesmo que não usássemos, nosso odor transmite informações ao consciente e ao inconsciente de outras pessoas.' (§2);B) 'Segundo a ciência, os feromônios do suor são fundamentais até para decidirmos quem será nosso parceiro [...]' (§2);C) 'Dessa forma, temos uma linguagem aromática secreta, que as árvores demonstraram também ter.' (§2);D) 'Para se livrar dos herbívoros, poucos minutos depois de as girafas aparecerem as acácias bombeiam toxinas para as folhas.' (§3);E) 'As girafas conhecem a tática e por isso avançam savana adentro até encontrarem árvores desavisadas.' (§3);0;O enunciado pede a identificação do mesmo modo verbal (Subjuntivo). O verbo 'estiverem' está no Futuro do Subjuntivo, e 'usássemos' (opção A) está flexionado no Pretérito Imperfeito do Subjuntivo.
morfologia;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);Assinale a opção em que o termo sublinhado funciona como um mecanismo de coesão, referindo-se a um termo anterior (pronome relativo).;A) 'No entanto, não seria interessante descobrir que as árvores também podem se expressar?' (§1);B) 'Dessa forma, temos uma linguagem aromática secreta, que as árvores demonstraram também ter.' (§2);C) 'O motivo é surpreendente: as acácias atacadas exalam um gás de alerta (no caso, etileno) que sinaliza às outras ao redor que surgiu um perigo.' (§3);D) 'Ou então trabalham contra o vento, já que é ele que carrega a mensagem aromática, buscando acácias que ainda não detectaram sua presença.' (§3);E) 'A saliva de cada espécie de inseto é única e pode ser tão bem classificada que as árvores são capazes de emitir substâncias [...]' (§6);1;Na alternativa B, o vocábulo 'que' é um pronome relativo que introduz uma oração adjetiva e resgata coesivamente o termo antecedente 'uma linguagem aromática secreta'.
sintaxe;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);Assinale a opção em que se fez uma análise sintática correta da expressão sublinhada.;A) 'Acontece que as árvores marcam sua presença de outra forma [...]' (§1) - sujeito da oração principal.;"B) 'Isso não é novidade para nós, seres humanos;' (§2) - vocativo.";C) 'Isso também acontece em outras florestas.' (§3) - adjunto adverbial de tempo.;D) 'E, mesmo que não usássemos, nosso odor transmite informações ao consciente e ao inconsciente de outras pessoas.' (§2) - objeto indireto.;E) 'Os olmos e pinheiros, por exemplo, apelam a pequenas vespas que depositam seus ovos no corpo das lagartas [...]' (§6) - objeto direto.;0;A oração subordinada integrante 'que as árvores marcam sua presença' exerce papel de sujeito oracional (Oração Subordinada Substantiva Subjetiva) em relação ao verbo unipessoal 'Acontece'.
interpretacao;2022;Texto 02 - 'A LINGUAGEM DAS ÁRVORES' (Peter Wohlleben);O autor estabelece semelhanças entre o comportamento do organismo das árvores e o dos seres humanos. Analise as afirmativas e assinale a opção correta.;A) Apenas as afirmativas I, II, III e IV são verdadeiras.;B) As afirmativas I, II, IV e V são verdadeiras.;C) Apenas as afirmativas II, III e V são verdadeiras.;D) Apenas as afirmativas I, III e V são verdadeiras.;E) Apenas as afirmativas I, II e IV são verdadeiras.;4;O texto comprova que as árvores se assemelham aos humanos por transmitirem sinais elétricos (I), exalarem odores informativos (II) e identificarem a saliva de agressores via paladar (IV). A III é falsa pois o texto diz que elas não agem de forma isolada.
sintaxe;2022;Fragmento: 'Para se livrar dos herbívoros, poucos minutos depois de as girafas aparecerem as acácias bombeiam toxinas...';A falta de contração gramatical entre os termos destacados (de as girafas) se justifica pela relação existente entre:;A) o advérbio e a preposição.;B) o advérbio e o artigo.;C) o artigo e o substantivo.;D) a preposição e o verbo.;E) a preposição e o artigo.;3;A norma padrão proíbe a contração da preposição quando o termo seguinte ('as girafas') desempenha o papel de sujeito de um verbo no infinitivo ('aparecerem'), interligando diretamente a preposição ao bloco do verbo.
morfologia;2022;Texto 03 - 'AS VELHAS ÁRVORES' (Olavo Bilac);Observe o trecho: 'Olha estas velhas árvores [...]' (1ª estrofe). Assinale a opção que apresenta a conjugação verbal correta, se o imperativo em destaque no trecho fosse negativo.;A) Não olha estas velhas árvores.;B) Não olhai estas velhas árvores.;C) Não olhais estas velhas árvores.;D) Não olhe estas velhas árvores.;E) Não olhes estas velhas árvores.;4;O verbo 'Olha' está na 2ª pessoa do singular (tu) do Imperativo Afirmativo. O Imperativo Negativo correspondente provém integralmente do Presente do Subjuntivo (que tu olhes), gerando 'Não olhes tu'.
semantica;2022;Texto 03 - 'AS VELHAS ÁRVORES' (Olavo Bilac);Assinale a opção que apresenta um sinônimo exato para o termo em destaque no trecho: 'Vencedoras da idade e das procelas...';A) Recompensas.;B) Tormentas.;C) Competições.;D) Doenças.;E) Dores.;1;A palavra 'procelas' é um termo da linguagem poética clássica que funciona como sinônimo para tempestades, borrascas ou 'tormentas'.
interpretacao;2022;Texto 03 - 'AS VELHAS ÁRVORES' (Olavo Bilac);A partir das informações contidas no texto, pode-se dizer que o soneto de Olavo Bilac tem o objetivo principal de exaltar:;A) a importância de se conservar as árvores mais velhas, uma vez que elas são fundamentais para a manutenção do equilíbrio ambiental.;B) a estreita ligação psicológica existente entre a natureza e o ser humano, o qual pode conseguir consolo em momentos adversos.;C) a alegria de se tornar mais velho, uma vez que, assim como as árvores, os seres humanos com mais idade podem ser considerados mais úteis.;D) os mais variados benefícios oferecidos por árvores antigas, as quais fornecem o alimento e também o abrigo necessário a seres humanos.;E) o valor da experiência adquirida ao longo do tempo, já que as árvores mais velhas se tornam mais resilientes e acolhedoras, assim como os seres humanos.;4;O soneto traça uma analogia lírica humanizada entre a robustez, utilidade e acolhimento das árvores antigas e o valor da maturidade/velhice humana repleta de sabedoria e bondade.
semantica;2022;Texto 03 - 'AS VELHAS ÁRVORES' (Olavo Bilac);Em qual dos versos abaixo se pode identificar o emprego de um animismo (personificação)?;A) 'Do que as árvores mais moças, mais amigas,' (1ª estrofe);B) 'Tanto mais belas quanto mais antigas,' (1ª estrofe);C) 'O homem, a fera e o inseto à sombra delas' (2ª estrofe);D) 'Não choremos jamais a mocidade!' (3ª estrofe);E) 'Como as árvores fortes envelhecem:' (3ª estrofe);0;Ocorre personificação ou animismo no verso A ao qualificar as árvores com o sentimento e comportamento moral tipicamente humano de serem 'amigas'.
interpretacao;2022;Texto 03 - 'AS VELHAS ÁRVORES' (Olavo Bilac) | 3ª estrofe;Identifique o tipo textual predominante no seguinte fragmento: 'Não choremos jamais a mocidade! Envelheçamos rindo! envelheçamos Como as árvores fortes envelhecem:';A) narrativo.;B) descritivo.;C) injuntivo.;D) expositivo.;E) argumentativo.;2;O trecho apresenta marcas nítidas do tipo injuntivo (exortativo) devido ao emprego de estruturas que buscam persuadir, aconselhar e guiar o comportamento do interlocutor ('não choremos', 'envelheçamos').
